#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1403636580948555520,4.685107,-1.784460,0.871652,0.546050,-0.151766,-0.818238,-0.096455,-0.029104,0.002803,0.785874,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580953555456,4.684966,-1.784448,0.875572,0.546629,-0.151625,-0.817834,-0.096825,-0.027239,0.002019,0.781920,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580958555392,4.684834,-1.784438,0.879471,0.547190,-0.151458,-0.817446,-0.097201,-0.025312,0.001818,0.777626,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580963555584,4.684712,-1.784429,0.883348,0.547733,-0.151265,-0.817072,-0.097593,-0.023681,0.001961,0.773114,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580968555520,4.684597,-1.784418,0.887202,0.548263,-0.151059,-0.816707,-0.097991,-0.022440,0.002264,0.768599,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580973555456,4.684487,-1.784407,0.891033,0.548796,-0.150852,-0.816342,-0.098367,-0.021454,0.002415,0.763828,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580978555392,4.684381,-1.784396,0.894840,0.549339,-0.150658,-0.815973,-0.098696,-0.020822,0.001929,0.758770,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580983555584,4.684278,-1.784389,0.898620,0.549890,-0.150482,-0.815602,-0.098966,-0.020590,0.000786,0.753454,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580988555520,4.684175,-1.784389,0.902373,0.550455,-0.150307,-0.815228,-0.099180,-0.020654,-0.000657,0.747626,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580993555456,4.684071,-1.784396,0.906096,0.551031,-0.150133,-0.814850,-0.099350,-0.020946,-0.002288,0.741713,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580998555392,4.683965,-1.784412,0.909790,0.551607,-0.149970,-0.814476,-0.099470,-0.021151,-0.004025,0.736043,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581003555584,4.683859,-1.784436,0.913456,0.552176,-0.149831,-0.814108,-0.099537,-0.021227,-0.005509,0.730226,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581008555520,4.683753,-1.784466,0.917092,0.552739,-0.149731,-0.813742,-0.099555,-0.021328,-0.006698,0.724049,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581013555456,4.683646,-1.784502,0.920697,0.553298,-0.149681,-0.813376,-0.099524,-0.021491,-0.007571,0.718110,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581018555392,4.683538,-1.784541,0.924275,0.553858,-0.149685,-0.813003,-0.099450,-0.021649,-0.008079,0.713130,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581023555584,4.683429,-1.784582,0.927831,0.554435,-0.149725,-0.812615,-0.099351,-0.021861,-0.008390,0.709046,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581028555520,4.683320,-1.784624,0.931368,0.555032,-0.149770,-0.812212,-0.099247,-0.021830,-0.008526,0.705704,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581033555456,4.683212,-1.784666,0.934889,0.555635,-0.149790,-0.811806,-0.099162,-0.021203,-0.008121,0.702761,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581038555392,4.683109,-1.784704,0.938395,0.556238,-0.149766,-0.811404,-0.099111,-0.020138,-0.007013,0.699566,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581043555584,4.683012,-1.784735,0.941884,0.556830,-0.149687,-0.811014,-0.099109,-0.018765,-0.005465,0.696021,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581048555520,4.682922,-1.784757,0.945354,0.557393,-0.149563,-0.810644,-0.099152,-0.016988,-0.003476,0.692226,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581053555456,4.682843,-1.784769,0.948805,0.557929,-0.149423,-0.810293,-0.099225,-0.014987,-0.001071,0.688253,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581058555648,4.682772,-1.784769,0.952237,0.558449,-0.149276,-0.809950,-0.099325,-0.013233,0.001162,0.684302,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581063555584,4.682709,-1.784758,0.955649,0.558956,-0.149126,-0.809612,-0.099450,-0.011790,0.002961,0.680410,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581068555520,4.682653,-1.784740,0.959040,0.559453,-0.148970,-0.809280,-0.099592,-0.010781,0.004433,0.676279,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581073555456,4.682600,-1.784715,0.962410,0.559958,-0.148809,-0.808942,-0.099742,-0.010239,0.005589,0.671722,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581078555648,4.682550,-1.784685,0.965757,0.560474,-0.148665,-0.808592,-0.099900,-0.009877,0.006474,0.666812,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581083555584,4.682501,-1.784651,0.969077,0.560989,-0.148562,-0.808237,-0.100047,-0.009755,0.007133,0.661282,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636581088555520,4.681865,-1.784123,0.972464,0.561497,-0.148517,-0.807856,-0.100164,-0.016908,0.013274,0.656107,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581093555456,4.681779,-1.784057,0.975728,0.562019,-0.148562,-0.807476,-0.100238,-0.017519,0.013286,0.649649,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581098555648,4.681690,-1.783991,0.978961,0.562553,-0.148696,-0.807075,-0.100272,-0.018157,0.013082,0.643497,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581103555328,4.681598,-1.783925,0.982164,0.563113,-0.148903,-0.806645,-0.100283,-0.018736,0.013117,0.637814,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581108555520,4.681503,-1.783859,0.985340,0.563705,-0.149170,-0.806183,-0.100278,-0.019178,0.013237,0.632558,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581113555456,4.681407,-1.783794,0.988490,0.564328,-0.149483,-0.805690,-0.100275,-0.019384,0.013121,0.627241,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581118555648,4.681310,-1.783729,0.991611,0.564973,-0.149810,-0.805178,-0.100271,-0.019292,0.012809,0.621330,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581123555328,4.681215,-1.783666,0.994702,0.565630,-0.150136,-0.804659,-0.100255,-0.018687,0.012396,0.615082,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581128555520,4.681125,-1.783604,0.997763,0.566296,-0.150447,-0.804135,-0.100233,-0.017381,0.012103,0.609309,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581133555456,4.681043,-1.783544,1.000796,0.566964,-0.150733,-0.803615,-0.100204,-0.015375,0.012080,0.603856,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581138555648,4.680973,-1.783483,1.003802,0.567634,-0.150985,-0.803099,-0.100172,-0.012814,0.012248,0.598424,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581143555328,4.680916,-1.783421,1.006781,0.568303,-0.151190,-0.802591,-0.100146,-0.009829,0.012743,0.593188,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581148555520,4.680875,-1.783355,1.009733,0.568963,-0.151336,-0.802097,-0.100137,-0.006701,0.013688,0.587907,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581153555456,4.680848,-1.783284,1.012659,0.569617,-0.151419,-0.801616,-0.100146,-0.003833,0.014769,0.582235,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581158555392,4.680836,-1.783207,1.015555,0.570258,-0.151443,-0.801154,-0.100169,-0.001257,0.015950,0.576209,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581163555328,4.680835,-1.783124,1.018420,0.570891,-0.151428,-0.800702,-0.100201,0.001120,0.017280,0.569879,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581168555520,4.680846,-1.783034,1.021253,0.571525,-0.151399,-0.800251,-0.100237,0.003345,0.018518,0.563118,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581173555712,4.680868,-1.782939,1.024051,0.572164,-0.151375,-0.799794,-0.100280,0.005477,0.019580,0.556176,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581178555392,4.680901,-1.782839,1.026814,0.572808,-0.151365,-0.799328,-0.100331,0.007421,0.020415,0.549200,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581183555584,4.680686,-1.782507,1.029575,0.573457,-0.151376,-0.798846,-0.100392,0.003669,0.025823,0.542408,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581188555520,4.680707,-1.782378,1.032268,0.574112,-0.151422,-0.798358,-0.100459,0.004898,0.025845,0.534598,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581193555712,4.680734,-1.782250,1.034921,0.574767,-0.151518,-0.797860,-0.100531,0.005760,0.025426,0.526708,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581198555392,4.680764,-1.782124,1.037535,0.575420,-0.151674,-0.797351,-0.100595,0.006245,0.024775,0.518924,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581203555584,4.680795,-1.782003,1.040111,0.576086,-0.151882,-0.796825,-0.100650,0.006355,0.023789,0.511585,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581208555520,4.680827,-1.781887,1.042653,0.576773,-0.152130,-0.796276,-0.100689,0.006337,0.022384,0.505015,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581213555456,4.680859,-1.781779,1.045163,0.577486,-0.152410,-0.795704,-0.100706,0.006551,0.020837,0.499027,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581218555392,4.680894,-1.781678,1.047643,0.578238,-0.152704,-0.795102,-0.100702,0.007223,0.019408,0.493072,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581223555584,4.680933,-1.781585,1.050093,0.579021,-0.152985,-0.794481,-0.100682,0.008627,0.018184,0.486872,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581228555520,4.680982,-1.781496,1.052511,0.579807,-0.153233,-0.793863,-0.100662,0.010715,0.017246,0.480250,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581233555456,4.681042,-1.781412,1.054894,0.580579,-0.153443,-0.793261,-0.100644,0.013264,0.016494,0.472871,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581238555392,4.681037,-1.781250,1.057242,0.581324,-0.153611,-0.792679,-0.100625,0.013346,0.018560,0.464929,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581243555584,4.681111,-1.781159,1.059546,0.582042,-0.153728,-0.792132,-0.100608,0.016326,0.017586,0.456704,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581248555520,4.681201,-1.781074,1.061809,0.582736,-0.153785,-0.791613,-0.100594,0.019358,0.016547,0.448540,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581253555456,4.681305,-1.780995,1.064031,0.583419,-0.153772,-0.791115,-0.100582,0.022327,0.015264,0.440428,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581258555392,4.681424,-1.780921,1.066213,0.584095,-0.153689,-0.790632,-0.100582,0.025209,0.014065,0.432061,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581263555584,4.681557,-1.780853,1.068350,0.584769,-0.153550,-0.790160,-0.100596,0.027988,0.013199,0.422739,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581268555520,4.681703,-1.780789,1.070436,0.585439,-0.153366,-0.789696,-0.100628,0.030670,0.012495,0.411954,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581273555456,4.681864,-1.780728,1.072467,0.586092,-0.153154,-0.789245,-0.100685,0.033436,0.011759,0.400104,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581278555392,4.682038,-1.780671,1.074435,0.586716,-0.152929,-0.788814,-0.100773,0.036191,0.010940,0.387470,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581283555584,4.682175,-1.780559,1.076336,0.587316,-0.152703,-0.788391,-0.100902,0.036552,0.012702,0.373743,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581288555264,4.682364,-1.780499,1.078169,0.587898,-0.152498,-0.787976,-0.101062,0.038866,0.011436,0.359486,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581293555456,4.682563,-1.780445,1.079930,0.588472,-0.152327,-0.787558,-0.101243,0.040923,0.009897,0.344597,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581298555648,4.682772,-1.780401,1.081614,0.589045,-0.152188,-0.787133,-0.101429,0.042289,0.007944,0.328977,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581303555584,4.682984,-1.780368,1.083218,0.589606,-0.152082,-0.786710,-0.101612,0.042773,0.005308,0.312974,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581308555520,4.683198,-1.780348,1.084744,0.590160,-0.152009,-0.786287,-0.101781,0.042784,0.002415,0.297093,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581313555456,4.683411,-1.780343,1.086189,0.590707,-0.151962,-0.785867,-0.101922,0.042515,-0.000329,0.281210,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581318555648,4.683623,-1.780350,1.087556,0.591244,-0.151940,-0.785453,-0.102034,0.042037,-0.002643,0.265288,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581323555584,4.683832,-1.780368,1.088842,0.591765,-0.151939,-0.785050,-0.102124,0.041657,-0.004160,0.249368,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581328555520,4.684040,-1.780390,1.090049,0.592254,-0.151948,-0.784670,-0.102198,0.041529,-0.004854,0.233272,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581333555456,4.684202,-1.780350,1.091162,0.592715,-0.151957,-0.784308,-0.102274,0.039540,-0.002245,0.216349,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581338555648,4.684400,-1.780362,1.092203,0.593141,-0.151962,-0.783972,-0.102363,0.039454,-0.002211,0.199876,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581343555328,4.684597,-1.780372,1.093160,0.593533,-0.151954,-0.783664,-0.102465,0.039580,-0.002000,0.183195,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581348555520,4.684796,-1.780381,1.094034,0.593892,-0.151928,-0.783382,-0.102587,0.039949,-0.001520,0.166088,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581353555456,4.684997,-1.780386,1.094820,0.594214,-0.151877,-0.783128,-0.102736,0.040604,-0.000572,0.148503,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581358555648,4.685203,-1.780385,1.095518,0.594494,-0.151807,-0.782905,-0.102924,0.041661,0.001083,0.130566,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581363555328,4.685415,-1.780374,1.096125,0.594724,-0.151730,-0.782714,-0.103158,0.042990,0.003141,0.112242,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581368555520,4.685633,-1.780354,1.096640,0.594906,-0.151649,-0.782554,-0.103438,0.044293,0.005039,0.093797,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581373555456,4.685857,-1.780325,1.097063,0.595046,-0.151567,-0.782422,-0.103756,0.045406,0.006539,0.075539,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581378555648,4.686087,-1.780290,1.097395,0.595150,-0.151473,-0.782314,-0.104106,0.046347,0.007474,0.057340,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581383555328,4.686321,-1.780252,1.097637,0.595221,-0.151364,-0.782232,-0.104477,0.047287,0.007799,0.039318,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594
1403636581388555520,4.686513,-1.780137,1.097762,0.595268,-0.151253,-0.782167,-0.104852,0.046659,0.010528,0.020404,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581393555456,4.686749,-1.780085,1.097819,0.595288,-0.151157,-0.782121,-0.105217,0.047822,0.010393,0.002402,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581398555392,4.686991,-1.780033,1.097785,0.595284,-0.151076,-0.782092,-0.105571,0.048842,0.010242,-0.015957,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581403555328,4.687236,-1.779983,1.097659,0.595257,-0.151007,-0.782081,-0.105909,0.049484,0.009709,-0.034517,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581408555520,4.687484,-1.779937,1.097440,0.595196,-0.150952,-0.782095,-0.106219,0.049666,0.008874,-0.053140,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581413555456,4.687732,-1.779895,1.097128,0.595106,-0.150905,-0.782135,-0.106498,0.049413,0.007948,-0.071800,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581418555392,4.687977,-1.779857,1.096723,0.594986,-0.150856,-0.782202,-0.106748,0.048611,0.007070,-0.090182,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581423555584,4.688217,-1.779823,1.096227,0.594833,-0.150800,-0.782299,-0.106970,0.047368,0.006395,-0.108295,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581428555520,4.688450,-1.779792,1.095640,0.594656,-0.150730,-0.782419,-0.107170,0.045938,0.006085,-0.126410,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581433555712,4.688676,-1.779762,1.094963,0.594465,-0.150635,-0.782557,-0.107362,0.044481,0.006077,-0.144394,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581438555392,4.688896,-1.779731,1.094196,0.594253,-0.150505,-0.782715,-0.107564,0.043322,0.006201,-0.162186,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581443555584,4.689110,-1.779700,1.093341,0.594009,-0.150351,-0.782899,-0.107791,0.042477,0.006400,-0.180072,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581448555520,4.689322,-1.779667,1.092395,0.593737,-0.150182,-0.783103,-0.108036,0.042008,0.006472,-0.198140,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581453555456,4.689532,-1.779635,1.091360,0.593440,-0.150000,-0.783329,-0.108291,0.042180,0.006468,-0.216007,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581458555392,4.689745,-1.779602,1.090236,0.593106,-0.149811,-0.783580,-0.108559,0.042909,0.006597,-0.233588,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581463555584,4.689962,-1.779569,1.089025,0.592740,-0.149625,-0.783855,-0.108835,0.044124,0.006620,-0.250811,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581468555520,4.690187,-1.779537,1.087729,0.592347,-0.149448,-0.784147,-0.109117,0.045643,0.006217,-0.267347,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581473555456,4.690419,-1.779508,1.086353,0.591933,-0.149276,-0.784453,-0.109400,0.047075,0.005470,-0.283243,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581478555392,4.690656,-1.779483,1.084898,0.591505,-0.149113,-0.784769,-0.109672,0.048094,0.004551,-0.298709,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581483555584,4.690898,-1.779463,1.083367,0.591062,-0.148967,-0.785095,-0.109926,0.048574,0.003377,-0.313602,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581488555520,4.691141,-1.779449,1.081764,0.590601,-0.148844,-0.785434,-0.110148,0.048625,0.002214,-0.327877,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581493555456,4.691383,-1.779440,1.080089,0.590123,-0.148750,-0.785788,-0.110323,0.048090,0.001388,-0.341955,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581498555392,4.691620,-1.779434,1.078345,0.589638,-0.148689,-0.786145,-0.110451,0.046832,0.001109,-0.355807,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581503555584,4.691850,-1.779427,1.076532,0.589147,-0.148677,-0.786504,-0.110535,0.045027,0.001533,-0.369363,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581508555520,4.692069,-1.779417,1.074651,0.588648,-0.148714,-0.786865,-0.110576,0.042622,0.002618,-0.382953,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581513555456,4.692274,-1.779401,1.072702,0.588149,-0.148792,-0.787221,-0.110592,0.039503,0.003910,-0.396709,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581518555392,4.692463,-1.779379,1.070684,0.587651,-0.148906,-0.787572,-0.110590,0.035977,0.004829,-0.410442,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581523555584,4.692634,-1.779354,1.068597,0.587155,-0.149044,-0.787919,-0.110571,0.032248,0.005257,-0.424149,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581528555520,4.692785,-1.779328,1.066442,0.586668,-0.149195,-0.788259,-0.110529,0.028472,0.004913,-0.438010,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581533555456,4.692920,-1.779306,1.064217,0.586195,-0.149360,-0.788591,-0.110454,0.025359,0.003830,-0.451851,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581538555392,4.693041,-1.779291,1.061923,0.585730,-0.149543,-0.788916,-0.110346,0.023195,0.002380,-0.465737,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
1403636581543555584,4.693154,-1.779283,1.059560,0.585268,-0.149762,-0.789238,-0.110206,0.021778,0.000601,-0.479707,-0.003172,0.021267,0.078502,-0.025266,0.136697,0.075594
